iter	Passed	Remaining
622	2212	1339
623	2216	1335
624	2219	1331
625	2222	1327
626	2225	1324
627	2228	1320
628	2231	1316
629	2234	1312
630	2238	1308
631	2241	1305
632	2244	1301
633	2248	1297
634	2252	1294
635	2256	1291
636	2260	1287
637	2264	1284
638	2267	1281
639	2271	1277
640	2275	1274
641	2278	1270
642	2281	1266
643	2284	1262
644	2287	1258
645	2290	1255
646	2293	1251
647	2296	1247
648	2299	1243
649	2302	1239
650	2305	1236
651	2308	1232
652	2311	1228
653	2314	1224
654	2317	1220
655	2319	1216
656	2322	1212
657	2325	1208
658	2328	1205
659	2331	1201
660	2334	1197
661	2337	1193
662	2340	1189
663	2343	1186
664	2347	1182
665	2350	1178
666	2353	1174
667	2356	1170
668	2358	1167
669	2361	1163
670	2364	1159
671	2367	1155
672	2370	1151
673	2373	1147
674	2376	1144
675	2379	1140
676	2382	1136
677	2385	1132
678	2388	1129
679	2391	1125
680	2394	1121
681	2397	1117
682	2400	1114
683	2403	1110
684	2406	1106
685	2409	1103
686	2412	1099
687	2415	1095
688	2418	1091
689	2421	1087
690	2424	1084
691	2427	1080
692	2430	1076
693	2433	1073
694	2436	1069
695	2439	1065
696	2442	1061
697	2446	1058
698	2450	1055
699	2455	1052
700	2460	1049
701	2464	1046
702	2468	1042
703	2472	1039
704	2476	1036
705	2480	1033
706	2485	1029
707	2489	1026
708	2493	1023
709	2497	1020
710	2501	1016
711	2506	1013
712	2510	1010
713	2515	1007
714	2519	1004
715	2522	1000
716	2525	997
717	2529	993
718	2534	990
719	2538	987
720	2542	983
721	2545	980
722	2548	976
723	2551	972
724	2554	968
725	2556	964
726	2559	961
727	2562	957
728	2565	953
729	2568	950
730	2571	946
731	2574	942
732	2577	938
733	2579	934
734	2582	931
735	2585	927
736	2588	923
737	2591	920
738	2595	916
739	2598	912
740	2602	909
741	2605	906
742	2608	902
743	2612	899
744	2616	895
745	2619	891
746	2622	888
747	2626	884
748	2629	881
749	2633	877
750	2637	874
751	2641	871
752	2645	867
753	2649	864
754	2652	860
755	2655	857
756	2659	853
757	2663	850
758	2666	846
759	2669	842
760	2672	839
761	2675	835
762	2678	831
763	2681	828
764	2684	824
765	2687	821
766	2691	817
767	2693	813
768	2696	809
769	2699	806
770	2702	802
771	2705	798
772	2707	795
773	2710	791
774	2713	787
775	2715	783
776	2719	780
777	2722	776
778	2724	773
779	2727	769
780	2731	765
781	2734	762
782	2736	758
783	2739	754
784	2742	751
785	2744	747
786	2747	743
787	2750	739
788	2753	736
789	2756	732
790	2758	728
791	2761	725
792	2764	721
793	2766	717
794	2769	714
795	2772	710
796	2775	706
797	2778	703
798	2780	699
799	2783	695
800	2786	692
801	2788	688
802	2791	684
803	2794	681
804	2797	677
805	2800	674
806	2803	670
807	2806	666
808	2809	663
809	2812	659
810	2815	656
811	2819	652
812	2822	649
813	2825	645
814	2828	641
815	2830	638
816	2834	634
817	2840	631
818	2842	628
819	2845	624
820	2848	621
821	2851	617
822	2854	613
823	2856	610
824	2859	606
825	2862	602
826	2864	599
827	2867	595
828	2870	592
829	2872	588
830	2875	584
831	2878	581
832	2881	577
833	2884	574
834	2887	570
835	2889	566
836	2892	563
837	2895	559
838	2899	556
839	2901	552
840	2904	549
841	2907	545
842	2909	541
843	2912	538
844	2915	534
845	2918	531
846	2920	527
847	2923	524
848	2926	520
849	2928	516
850	2931	513
851	2934	509
852	2937	506
853	2940	502
854	2943	499
855	2945	495
856	2948	491
857	2951	488
858	2953	484
859	2956	481
860	2959	477
861	2962	474
862	2965	470
863	2967	467
864	2970	463
865	2973	460
866	2976	456
867	2978	453
868	2981	449
869	2984	445
870	2987	442
871	2989	438
872	2992	435
873	2995	431
874	2998	428
875	3001	424
876	3003	421
877	3006	417
878	3009	414
879	3012	410
880	3015	407
881	3018	403
882	3020	400
883	3023	396
884	3026	393
885	3029	389
886	3032	386
887	3034	382
888	3037	379
889	3040	375
890	3043	372
891	3047	368
892	3050	365
893	3053	362
894	3056	358
895	3058	355
896	3061	351
897	3064	348
898	3067	344
899	3070	341
900	3073	337
901	3076	334
902	3078	330
903	3081	327
904	3084	323
905	3086	320
906	3089	316
907	3092	313
908	3095	309
909	3097	306
910	3100	302
911	3103	299
912	3106	295
913	3108	292
914	3111	289
915	3114	285
916	3116	282
917	3119	278
918	3122	275
919	3125	271
920	3128	268
921	3130	264
922	3133	261
923	3136	257
924	3139	254
925	3142	251
926	3145	247
927	3148	244
928	3150	240
929	3153	237
930	3156	233
931	3159	230
932	3162	227
933	3164	223
934	3167	220
935	3170	216
936	3173	213
937	3175	209
938	3178	206
939	3181	203
940	3184	199
941	3187	196
942	3190	192
943	3192	189
944	3195	185
945	3198	182
946	3201	179
947	3204	175
948	3207	172
949	3209	168
950	3212	165
951	3215	162
952	3218	158
953	3221	155
954	3224	151
955	3226	148
956	3230	145
957	3233	141
958	3236	138
959	3239	134
960	3241	131
961	3244	128
962	3247	124
963	3250	121
964	3253	118
965	3256	114
966	3260	111
967	3263	107
968	3266	104
969	3269	101
970	3272	97
971	3275	94
972	3277	90
973	3280	87
974	3283	84
975	3286	80
976	3288	77
977	3291	74
978	3294	70
979	3297	67
980	3299	63
981	3302	60
982	3305	57
983	3308	53
984	3311	50
985	3313	47
986	3316	43
987	3319	40
988	3322	36
989	3324	33
990	3327	30
991	3330	26
992	3333	23
993	3336	20
994	3338	16
995	3341	13
996	3344	10
997	3347	6
998	3349	3
999	3352	0
